Total Simulation steps: 570
Td	ID	Tj	Df	Dd	Db
161	2587	146	4	11	15
162	2591	147	4	11	15
163	2594	148	4	11	15
163	2590	147	4	12	16
166	2596	149	5	12	17
167	2600	150	5	12	17
168	2604	151	5	12	17
169	2608	152	5	12	17
171	2612	153	5	13	18
172	2595	148	5	19	24
173	2561	140	5	28	33
173	2599	149	5	19	24
173	2598	149	5	19	24
173	2620	155	5	13	18
173	22	76	2	95	97
173	20	76	0	97	97
173	19	75	0	98	98
173	23	76	1	96	97
173	36	173	NaN	NaN	NaN
174	2603	150	5	19	24
174	2602	150	5	19	24
174	2624	156	5	13	18
175	2607	151	5	19	24
175	2606	151	5	19	24
175	2628	157	5	13	18
175	2699	174	0	1	1
175	2621	155	18	2	20
176	2610	152	5	19	24
176	2632	158	5	13	18
176	2694	173	1	2	3
176	2693	173	1	2	3
176	2637	159	14	3	17
177	2636	159	5	13	18
177	2656	164	6	7	13
177	2611	152	5	20	25
177	2689	172	2	3	5
178	2660	165	6	7	13
178	2615	153	5	20	25
178	2614	153	5	20	25
178	2705	176	0	2	2
178	2525	131	42	5	47
178	2618	154	5	19	24
179	2616	154	5	20	25
179	2640	160	5	14	19
179	2622	155	5	19	24
179	2619	154	6	19	25
179	2698	174	1	4	5
179	2685	171	6	2	8
179	2486	121	1	57	58
179	2577	144	0	35	35
179	2644	161	5	13	18
180	2623	155	6	19	25
180	2648	162	5	13	18
180	2173	43	1	136	137
180	2647	161	6	13	19
181	2627	156	6	19	25
181	2672	168	7	6	13
181	2676	169	6	6	12
181	2630	157	5	19	24
182	2652	163	6	13	19
182	2654	163	6	13	19
182	2655	163	6	13	19
182	2681	170	8	4	12
182	2680	170	6	6	12
182	2626	156	6	20	26
183	2631	157	6	20	26
183	2658	164	6	13	19
183	2659	164	6	13	19
183	2638	159	5	19	24
183	2683	170	7	6	13
184	2688	172	6	6	12
184	2635	158	6	20	26
184	2634	158	6	20	26
184	2662	165	6	13	19
184	2677	169	11	4	15
185	2695	173	6	6	12
185	2692	173	6	6	12
185	2643	160	5	20	25
185	2642	160	5	20	25
185	2721	180	1	4	5
185	2673	168	13	4	17
186	2670	167	7	12	19
186	2671	167	7	12	19
186	2650	162	5	19	24
186	2639	159	6	21	27
186	2664	166	7	13	20
186	2666	166	7	13	20
186	2709	177	1	8	9
186	2593	148	32	6	38
187	2674	168	7	12	19
187	2675	168	7	12	19
187	2704	176	5	6	11
187	2669	167	14	6	20
187	2651	162	6	19	25
188	2678	169	7	12	19
188	2679	169	7	12	19
188	2682	170	6	12	18
188	2725	181	1	6	7
189	2708	177	6	6	12
189	2684	171	6	12	18
189	2686	171	6	12	18
189	2687	171	6	12	18
189	2729	182	1	6	7
189	2713	178	2	9	11
190	2712	178	6	6	12
190	2690	172	6	12	18
190	2691	172	6	12	18
190	2663	165	6	19	25
190	2733	183	1	6	7
190	2701	175	6	9	15
191	2646	161	5	25	30
191	2667	166	7	18	25
191	2737	184	1	6	7
191	2668	167	7	17	24
192	2702	175	6	11	17
192	2703	175	6	11	17
192	2749	187	1	4	5
193	2706	176	6	11	17
193	2707	176	6	11	17
193	2711	177	6	10	16
194	2736	184	5	5	10
194	2710	177	6	11	17
195	2714	178	6	11	17
195	2715	178	6	11	17
195	2719	179	6	10	16
196	2740	185	5	6	11
196	2716	179	6	11	17
197	2722	180	6	11	17
197	2723	180	6	11	17
198	2700	175	5	18	23
198	2726	181	6	11	17
198	2727	181	6	11	17
200	2732	183	5	12	17
201	2738	184	5	12	17
203	2718	179	6	18	24
203	2720	180	5	18	23
204	2744	186	5	13	18
206	2724	181	5	20	25
207	2748	187	5	15	20
208	2776	194	6	8	14
208	2754	188	5	15	20
208	2755	188	5	15	20
208	2731	182	6	20	26
208	2735	183	5	20	25
208	2734	183	5	20	25
208	32	135	0	73	73
208	34	135	2	71	73
208	27	121	0	87	87
208	35	135	1	72	73
208	44	208	NaN	NaN	NaN
209	2756	189	5	15	20
209	2645	161	47	1	48
209	2784	196	6	7	13
209	2739	184	5	20	25
209	2760	190	5	14	19
210	2821	205	3	2	5
210	2825	206	3	1	4
210	2743	185	5	20	25
210	2742	185	5	20	25
211	2617	154	55	2	57
211	2829	207	2	2	4
211	2837	209	1	1	2
211	2747	186	5	20	25
211	2746	186	5	20	25
212	2833	208	0	4	4
212	2845	211	0	1	1
212	2751	187	5	20	25
213	2834	208	0	5	5
214	2796	199	7	8	15
214	2768	192	6	16	22
214	2817	204	9	1	10
214	2769	192	20	2	22
214	2750	187	5	22	27
214	2752	188	4	22	26
214	2728	182	5	27	32
215	2806	201	7	7	14
215	2804	201	7	7	14
215	2775	193	7	15	22
215	2778	194	6	15	21
215	2807	201	7	7	14
215	2853	213	0	2	2
215	2581	145	68	2	70
215	31	130	0	85	85
215	13	66	0	149	149
215	21	76	0	139	139
215	48	215	NaN	NaN	NaN
216	2759	189	5	22	27
216	2758	189	5	22	27
216	2857	214	0	2	2
216	2813	203	11	2	13
217	2780	195	7	15	22
217	2763	190	5	22	27
217	2762	190	5	22	27
217	2767	191	6	20	26
218	2764	191	5	22	27
218	2865	216	0	2	2
218	2765	191	1	26	27
218	2771	192	6	20	26
219	2861	215	0	4	4
219	2862	215	0	4	4
219	2809	202	15	2	17
219	2805	201	16	2	18
220	2772	193	6	21	27
220	2730	182	5	33	38
220	2665	166	9	45	54
220	2774	193	6	21	27
221	2800	200	7	14	21
221	2828	207	7	7	14
222	2836	209	6	7	13
222	2873	218	0	4	4
222	2881	220	0	2	2
222	2877	219	1	2	3
223	2812	203	7	13	20
223	2717	179	41	3	44
224	2885	221	0	3	3
225	2801	200	21	4	25
225	2797	199	22	4	26
225	2795	198	7	20	27
226	2770	192	6	28	34
226	2793	198	23	5	28
227	2792	198	7	22	29
227	2766	191	6	30	36
227	2824	206	7	14	21
227	2741	185	38	4	42
227	2799	199	7	21	28
227	2798	199	7	21	28
228	2830	207	7	14	21
228	2831	207	7	14	21
228	2803	200	7	21	28
228	2802	200	7	21	28
228	2893	223	1	4	5
228	2789	197	27	4	31
229	2838	209	6	14	20
229	2839	209	6	14	20
229	2811	202	7	20	27
229	2832	208	7	14	21
230	2843	210	6	14	20
230	2814	203	7	20	27
230	2810	202	7	21	28
230	2745	186	5	39	44
230	2808	202	7	21	28
231	2846	211	6	14	20
231	2847	211	6	14	20
231	2897	224	1	6	7
231	2782	195	7	29	36
231	2783	195	7	29	36
232	2815	203	7	22	29
232	2844	211	6	15	21
232	2848	212	6	14	20
233	2816	204	7	22	29
233	2786	196	7	30	37
233	2787	196	7	30	37
233	2791	197	7	29	36
234	2820	205	7	22	29
234	2788	197	7	30	37
234	2790	197	7	30	37
234	2794	198	7	29	36
235	2852	213	6	16	22
235	2854	213	6	16	22
235	2855	213	6	16	22
235	2827	206	7	22	29
235	2826	206	7	22	29
236	2880	220	7	9	16
236	2858	214	7	15	22
237	2859	214	7	16	23
237	2856	214	7	16	23
238	2864	216	6	16	22
238	2888	222	7	9	16
238	2842	210	6	22	28
238	2835	208	7	23	30
239	2868	217	6	16	22
239	2892	223	7	9	16
239	2866	216	6	17	23
240	2840	210	6	24	30
240	2779	194	7	39	46
240	2872	218	6	16	22
241	2896	224	7	10	17
241	2870	217	6	18	24
241	2871	217	6	18	24
241	2819	204	7	30	37
242	2900	225	7	10	17
242	2874	218	6	18	24
242	2875	218	6	18	24
242	2851	212	6	24	30
242	2850	212	6	24	30
243	2904	226	7	10	17
243	2878	219	6	18	24
243	2879	219	6	18	24
243	2818	204	7	32	39
244	2822	205	7	32	39
244	2823	205	7	32	39
245	2908	227	8	10	18
246	2884	221	6	19	25
246	2882	220	7	19	26
246	2883	220	7	19	26
247	2863	215	6	26	32
247	2860	215	6	26	32
247	2886	221	7	19	26
247	2887	221	7	19	26
248	2867	216	6	26	32
248	2890	222	7	19	26
248	2891	222	7	19	26
248	2894	223	7	18	25
249	2895	223	7	19	26
249	2898	224	7	18	25
250	2899	224	7	19	26
250	2903	225	7	18	25
250	2928	232	9	9	18
250	43	174	2	74	76
250	40	174	0	76	76
250	42	174	0	76	76
250	39	173	0	77	77
250	18	75	0	175	175
250	17	75	0	175	175
250	52	250	NaN	NaN	NaN
251	2932	233	9	9	18
251	2876	219	6	26	32
251	2902	225	7	19	26
251	2936	234	9	8	17
252	2977	244	6	2	8
252	2901	225	25	2	27
252	2906	226	8	18	26
252	2907	226	8	18	26
253	2929	232	19	2	21
253	2781	195	55	3	58
253	2910	227	8	18	26
253	2911	227	8	18	26
254	2918	229	8	17	25
254	2948	237	9	8	17
254	2912	228	8	18	26
254	2542	135	8	111	119
254	3005	251	1	2	3
254	2997	249	2	3	5
255	2952	238	9	8	17
255	2916	229	8	18	26
255	3002	250	1	4	5
255	3001	250	1	4	5
255	2549	137	10	108	118
255	26	121	0	134	134
255	25	121	0	134	134
255	30	130	0	125	125
255	33	135	0	120	120
255	29	130	0	125	125
255	56	255	NaN	NaN	NaN
256	2960	240	9	7	16
256	2920	230	9	17	26
256	2922	230	9	17	26
256	2923	230	9	17	26
256	2993	248	6	2	8
257	2924	231	9	17	26
257	2930	232	9	16	25
257	2931	232	9	16	25
257	2597	149	106	2	108
257	2974	243	8	6	14
258	2972	243	8	7	15
258	2968	242	9	7	16
258	2989	247	9	2	11
258	2937	234	22	2	24
258	2609	152	104	2	106
258	2940	235	9	14	23
259	2939	234	10	15	25
259	2985	246	11	2	13
259	2981	245	12	2	14
259	2944	236	9	14	23
260	2915	228	8	24	32
260	2914	228	8	24	32
260	3029	257	1	2	3
261	2988	247	7	7	14
261	2950	237	9	15	24
261	2951	237	9	15	24
261	2987	246	8	7	15
261	2986	246	8	7	15
261	2955	238	9	14	23
261	3009	252	7	2	9
261	2841	210	49	2	51
261	2958	239	9	13	22
262	2959	239	9	14	23
262	2995	248	7	7	14
262	2994	248	7	7	14
262	2992	248	7	7	14
262	2954	238	9	15	24
262	2996	249	6	7	13
262	2919	229	9	24	33
262	2956	239	9	14	23
